target_entrez,disease_icd10
551,207871
1972,206289
12037,206289
16,206289
9540,206289
11493,206289
17819,207156
9545,207156
890,207156
7044,207156
13334,207156
187,207156
5009,207156
19862,204178
19862,203852
1810,204178
1810,203852
1810,205944
8128,203852
8128,208640
16091,207332
16091,203852
16091,204994
16091,208640
551,208803
8092,206068
10908,208593
7803,207205
7803,207827
7803,206355
7803,205691
7803,204937
7803,206268
7803,204056
7803,208652
7803,206830
7803,203745
7803,206627
7803,205014
7803,206654
7803,203526
7803,207646
7803,207990
1972,206407
16,206407
6727,206407
3638,206407
3638,204677
9932,205944
7478,206811
551,206811
20623,206811
9706,206811
21766,203249
13903,206633
6796,206811
3614,206811
2002,206811
187,206811
12619,205234
11873,205234
15301,205234
15024,208245
16,208245
9540,208245
9540,207332
11493,207332
12619,207332
11873,207332
15301,207332
7803,205006
3540,205006
11664,205006
2419,208714
7743,208714
19903,208714
11664,208714
17897,208714
799,208714
10908,208714
3536,208714
3809,208714
2861,208714
14521,208714
13847,208714
10722,208714
15237,208714
11484,208714
12456,208714
21689,208714
5398,208714
16621,208714
891,208714
7625,208714
13993,208714
4955,208714
8578,208714
9171,208714
16586,208714
3683,208714
9540,203972
17664,206891
2856,206891
1972,203856
15024,203856
16,203856
9540,203856
7478,205234
1972,205234
15024,205234
16,205234
9540,205234
551,205234
17821,205234
7877,205234
11664,205476
943,205476
10386,205476
17897,205276
4406,204604
16091,204710
13903,204710
10378,204710
13847,204710
6365,204710
14588,204710
5009,208328
11484,208328
7044,207580
13334,207580
16288,207358
8128,206289
13847,203720
187,205476
1972,206218
2113,206218
3509,204677
943,204677
4406,204650
20635,204767
1972,204767
15024,204767
16,204767
9540,204767
14521,208471
21500,208015
21500,208471
22021,206857
3377,206857
17628,205476
2558,205476
9182,206768
551,208640
3509,206891
2002,206891
22021,206891
13306,206891
8150,206891
16918,206891
1388,206891
3377,206891
5009,204677
17906,208201
13903,204202
11402,203366
6789,203366
21925,203366
13903,206060
20635,206060
17447,207161
13903,206218
10378,206218
1029,206218
13903,207683
10378,207683
551,207683
20335,204604
11664,205287
21320,207199
7478,207199
7478,205091
1029,207199
1029,205091
2419,206342
19903,208710
14123,208205
21686,208205
374,204562
21574,205476
9932,208015
22179,208015
19711,204754
20665,204754
7743,204055
17821,204055
7877,204055
5009,204055
9182,204055
9932,207683
14759,207683
589,207683
504,207683
7527,207332
8122,207332
5056,207332
16627,207332
6653,207332
14772,207332
9547,207332
9378,207332
647,206407
16627,206407
19513,207332
3614,204827
8128,205576
890,205576
647,205576
7478,205576
11813,205576
2861,205576
13847,205576
14123,205576
13940,205576
4652,205576
13847,207332
6365,207332
16288,208245
7527,208773
16091,208773
11664,208773
13903,208773
10378,208773
551,208773
21766,208773
943,208773
187,208773
10386,208773
3013,208773
800,208773
